row_idx,col,y_true,y_pred,delta_score
1939,ARANC_NAC,-1,-1,0.0
1945,PRE_UNIT,-1,1,2.060301386169897
1984,ARANC_NAC,-1,-1,0.0
1985,PRE_UNIT,-1,1,0.6354652887202974
1985,ARANC_NAC,-1,-1,0.0
1988,PRE_UNIT,-1,1,0.31927876505065456
1988,ARANC_NAC,-1,-1,0.0
1990,ARANC_NAC,-1,-1,0.0
1991,ARANC_ALA,-1,-1,0.0
1991,ARANC_NAC,-1,-1,0.0
1999,PRE_UNIT,-1,-1,-2.077451407006521
2010,FOB,-1,1,6.955728783245007
2010,CIF,-1,1,7.204892510204672
2021,ARANC_ALA,-1,-1,0.0
2022,ARANC_ALA,-1,-1,0.0
2025,PRE_UNIT,-1,-1,-1.9248462803613506
2026,PRE_UNIT,-1,-1,-1.8716433416927885
2029,PRE_UNIT,-1,1,1.356479276040659
2035,ARANC_NAC,-1,-1,0.0
2045,PRE_UNIT,-1,1,0.810513608563042
2046,PRE_UNIT,-1,1,0.8105136085630704
2047,PRE_UNIT,-1,1,0.8105136085630704
2048,PRE_UNIT,-1,1,0.810513608563042
2054,PRE_UNIT,-1,1,0.563312235717575
2070,ARANC_NAC,-1,-1,0.0
2075,PRE_UNIT,-1,1,1.2718063587882398
2076,PRE_UNIT,-1,1,1.4476184630179887
2077,PRE_UNIT,-1,1,1.5137668427746007
2078,PRE_UNIT,-1,1,0.8278779816201336
2079,PRE_UNIT,-1,1,2.13129438098548
2082,PRE_UNIT,-1,1,2.8354190002506243
2095,PRE_UNIT,-1,1,1.6721040243045309
2099,PRE_UNIT,-1,1,2.3529187055328578
2101,PRE_UNIT,-1,1,1.1883656470850497
2103,PRE_UNIT,-1,1,2.362133307130023
2104,PRE_UNIT,-1,1,0.6176911359453925
2106,PRE_UNIT,-1,1,2.3343498467612562
2110,PRE_UNIT,-1,1,2.921418969617605
2113,PRE_UNIT,-1,1,1.5467578493117458
2120,PRE_UNIT,-1,1,1.1843865684786579
2125,PRE_UNIT,-1,-1,-1.2613010791633883
2126,PRE_UNIT,-1,-1,-1.2613010791633883
2127,PRE_UNIT,-1,-1,-1.2613010791633315
2130,PRE_UNIT,-1,-1,0.0
2130,ARANC_NAC,-1,-1,0.0
2133,FOB,-1,1,6.223090539103509
2145,PRE_UNIT,-1,1,0.07082830103924209
2146,PRE_UNIT,-1,1,0.23052365861184398
2147,PRE_UNIT,-1,-1,0.0
2149,ARANC_NAC,-1,-1,0.0
2150,ARANC_NAC,-1,-1,0.0
2151,ARANC_NAC,-1,-1,0.0
2152,PRE_UNIT,-1,1,0.8488683033268103
2162,ARANC_NAC,-1,-1,0.0
2164,ARANC_NAC,-1,-1,0.0
2165,PRE_UNIT,-1,1,2.788001871404859
2182,PRE_UNIT,-1,1,2.155471739887332
2185,PRE_UNIT,-1,1,3.078321187440963
2187,PRE_UNIT,-1,1,2.917418967167862
2188,PRE_UNIT,-1,1,0.1332281325767326
2190,PRE_UNIT,-1,1,2.6025597224836474
2191,PRE_UNIT,-1,1,3.643079002343711
2192,ARANC_ALA,-1,-1,0.0
2197,PRE_UNIT,-1,1,2.146654663904144
2198,PRE_UNIT,-1,1,2.232197679452952
2199,PRE_UNIT,-1,1,3.051913101951925
2200,PRE_UNIT,-1,1,2.9659274092956025
2201,ARANC_NAC,-1,-1,0.0
2209,PRE_UNIT,-1,-1,0.0
2210,PRE_UNIT,-1,1,1.118760720428611
2211,PRE_UNIT,-1,1,3.079368068407774
2211,ARANC_NAC,-1,-1,0.0
2212,PRE_UNIT,-1,1,1.118760720428611
2219,PRE_UNIT,-1,1,3.0864238690787715
2221,FOB,-1,-1,0.0
2221,ARANC_NAC,-1,-1,0.0
2223,ARANC_ALA,-1,-1,0.0
2224,ARANC_ALA,-1,-1,-0.016366977464201682
2227,ARANC_NAC,-1,-1,0.0
2228,ARANC_NAC,-1,-1,0.0
2229,PRE_UNIT,-1,1,0.5302076190563838
2232,PRE_UNIT,-1,1,0.8159227378194487
2233,PRE_UNIT,-1,-1,-0.5120250755890083
2234,ARANC_NAC,-1,-1,0.0
2235,PRE_UNIT,-1,-1,0.0
2235,ARANC_NAC,-1,-1,0.0
2242,PRE_UNIT,-1,1,1.0816339521336715
2243,PRE_UNIT,-1,1,1.0816339521337
2244,PRE_UNIT,-1,1,1.0833188724986087
2245,PRE_UNIT,-1,1,1.0816339521337
2246,PRE_UNIT,-1,1,1.0833188724986087
2248,PRE_UNIT,-1,1,0.34830669426821714
2248,ARANC_NAC,-1,-1,0.0
2251,PRE_UNIT,-1,1,2.3478708731015416
2255,PRE_UNIT,-1,1,2.136332302315054
2258,PA_ORIG,-1,-1,0.0
2258,FOB,-1,-1,0.0
2258,CIF,-1,-1,0.0
2258,PRE_UNIT,-1,-1,0.0
2268,PRE_UNIT,-1,1,2.8130679407607886
2268,ARANC_NAC,-1,-1,0.0
2280,ARANC_NAC,-1,-1,0.0
2292,ARANC_ALA,-1,-1,0.0
2292,ARANC_NAC,-1,-1,0.0
2293,PRE_UNIT,-1,-1,0.0
2293,ARANC_NAC,-1,-1,0.0
2294,ARANC_ALA,-1,-1,-4.5395737345188536e-05
2302,ARANC_ALA,-1,-1,0.0
2306,PRE_UNIT,-1,-1,0.0
2306,ARANC_NAC,-1,-1,0.0
2318,ARANC_ALA,-1,1,0.004522336706827446
2319,ARANC_ALA,-1,1,0.004522336706827446
